ID_ASUNTO_RCV|TIPO_ASUNTO|NUMERO_ACTIVO
6000000000000184|Litigio|7360694
6000000000000184|Litigio|7344623
6000000000000184|Litigio|7360642
6000000000000184|Litigio|7360672
6000000000000184|Litigio|7360676
6000000000000184|Litigio|7360660
6000000000000184|Litigio|7360645
6000000000000184|Litigio|7360652
6000000000000184|Litigio|7360706
6000000000000184|Litigio|7360632
6000000000000184|Litigio|7360658
6000000000000184|Litigio|7360668
6000000000000184|Litigio|7360634
6000000000000184|Litigio|7360685
6000000000000184|Litigio|7344626
6000000000000184|Litigio|7360636
6000000000000184|Litigio|7360671
6000000000000184|Litigio|7344629
6000000000000184|Litigio|7360629
6000000000000184|Litigio|7360704
